Lekwungen Word,English Translation
sq̓ʷáʔq̓ʷeyʔ,dead person; nearly dead; or paralyzed
sq̓ʷáʔq̓ʷeyʔ cə qeq,stillborn child
sq̓ʷáʔq̓ʷəɬ,have boils; to have an infection; be gangrenous or necrotic tissue
sq̓ʷáʔq̓ʷəp,wrinkles
sq̓ʷáŋəs,forehead
sq̓ʷəléʔenʔ,deaf person; one who is deaf
sq̓ʷəlélŋəxʷ,blackberry
sq̓ʷə́ʔləɬ,roast; cooked; a piece of roasted food
sslíqʷəl̓,"fine, that which is fine; soft"
steŋ ʔáčə,what is it?; what's wrong?
stiqiw̓áləɬ,colt
stiqíw,horse
stiíwət,East wind
"1. wolf (Wolf's superior hunting ability can be conferred on humans who obtain his favour in a supernatural encounter. Hunters of land mammals became wolves at death. Because of the mythological association, wolf meat was","2. tabooed as food for humans (Barnet: 1955:63, 93)."
1. Placename: Wolf den; name of village on peninsual at south end of Plumber Bay overlooking Esquimalt reserve. The name for the tiny island or peninsula across from the harbour. Wolves used to come right down to the beach here.,2. —meaning Place of the wolf.
stáʔləw̓,river
stáʔləs,spouse
stáʔtələw̓,creek; little river
stáməš,hero; brave person with powers; mythical character
stáŋət,what's the matter?; what was done?; what happened?
stáq̓ʷəŋ,cough; a cough
stélŋəxʷ,medicine (spiritual medicine with healing power.
stéŋ,thing; what; be a thing
stéŋ̓əɬ,whatever; whatever it is
stéskʷəɬ,behind ones back; be behind someone
stésəɬ,close by; be near; one who is near
stékən,stockings
stíʔtəm̓əs,manage to go very fast; blowing hard (?) (c.f. SEN)
stíʔ; stéʔ,let's; hortative (warning or giving advice)
stíkʷən,niece or nephew; sibling's or cousin's child
stóp,stove; cooking stove
stəliqí́w,horses
stəlqéyeʔ,wolves
stəx̣éqʷ,bushy hair
stəyə́kʷɬ,race canoe; a race canoe
stə́məč,black duck with long neck
st̓el,what's spread out
st̓iʔwiʔəɬʔéw̓txʷ,church; prayer house
st̓iqəl,"mud, muddy place"
st̓áčəw̓əč,heel
st̓áwəɬ; ʔəst̓áwəɬ,thin; one who is thin; a thin person
st̓éʔc̓ək̓ʷ,light; dawn
st̓éʔt̓əw̓,"bright, brilliant object"
st̓éʔt̓ən; ʔəst̓ét̓ən,shade
st̓éčəŋ,tide
st̓ékʷə,freight canoe
st̓éqeʔ,"bruise, a bruise"
st̓éx̣əɬ; ʔəst̓éx̣əɬ,one who is wrong
st̓íʔwiʔəɬ,"prayer, religion, spirit"
st̓íləm,song (any song)
st̓íləmtəŋ,song that was given
st̓ət̓éyəq̓,anger
st̓ə́ʔməč,cormorant
st̓ə́wək̓ʷ,clay (white clay traditionally used to draw oil from wool)
st̓ə́yəmtxʷ,clothes: what is worn
sway̓qeʔ silə,grandfather
sway̓qəʔal̓əɬ,boy; young boy; little boy
sway̓qəʔáləɬ,"boy, little boy"
swiw̓ləs,boy; youth; young man
swákʷən,loon
swáy̓qe (nə)šéyəɬ,(my) older brother
swáy̓qeʔ,man; male; husband
swáy̓qeʔlə,late husband
swáy̓qəʔ (ən)šxʷáʔq̓ʷaʔ,(my) brother (male sibling)
swétə,sweater
swétəs,sweaters
swəq̓ʷáʔɬ,wool of wild goat or dog
sxʷ helə; šxʷ helə,you folks; second person plural pronoun (subject)
sxʷʔəx̣sénəŋ,razor
sxʷc̓əkʷkʷélə,washing machine
sxʷčeʔi,servant
sxʷčəkʷx̣ínʔəɬ,frying pan
sxʷč̓eʔəc̓,sewing machine
sxʷeʔem,"clam (large, butter clam); (Saxidomus giganteus. Considered the most edible of clams and was eaten fresh or steamed in a stone-lined pit.)"
sxʷiʔém̓,story; usually mythological story
sxʷk̓ʷət,what is dragged or pulled
sxʷk̓ʷə́nələ,spyglass; binocular
sxʷléʔəw̓txʷ,yard
sxʷqʷeltn̓,voice
sxʷq̓əʔx̣elʔs,clam digging stick; stick used only for digging clams
sxʷq̓ʷáʔkʷəɬ,canoe partner
sxʷq̓ʷáʔləkʷəɬ,canoe partners
sxʷsəŋéʔtn̓,backpack; device for carrying on your back
sxʷtihélə,tea pot
sxʷxʷíʔsət -also- sxʷʔəx̣ʷísət,broom; (gather up with a broom)
sxʷx̣əl̓əyásən,computer
sxʷ; šxʷ,you; second person singular pronoun (subject)
sxʷkəw̓kʷíwsət,heater
sxʷáʔmət,bed
sxʷéʔsətən,cloud
sxʷéŋxʷəŋ,Placename: territory in what is now known as James Bay neighbourhood of Victoria BC.
sxʷéxʷək̓ʷ; sxʷéxʷk̓ʷ,foolish; crazy person; drunk
sxʷəkʷəníŋəɬ,helper
sxʷəl̓mást,mirror
sxʷənéŋs,similar; one which is like this; how it is; be as it is
sxʷəwxʷék̓ʷtəŋ,drunk; one who is very drunk
sxʷəxʷwáʔəs,thunder
sxʷə́ƛ̓qənelə,pillow
sxʷə́w̓qən,swan; swan's down; (A pregnant woman might be fed swan fat to aid in labor (Stern 1934:14).
sx̣ʔséʔe,grass
1. Placename: This is the name of small spring that runs out from the beach into the sea by the eastern side of the mouth of Becher Bay. The fishing is good here because it said the salmon come here to drink from the fresh,"2. spring. The name, scratch refers comes from a rock behind the spring which has several scratches on it."
sx̣čənə́xʷ,knowledge; what is known
sx̣eʔénxʷ,frog
sx̣eč,dried or smoked food
sx̣eč kʷit̓šən,dried or smoked spring salmon
1. fern. Fern leaves were used to line roasting pits and were ritually prominent in ceremonies centering on girls at time of puberty. Fern roots were eaten. Families owned specific beds of fern plants (Gunther 1927:197. 209;,2. Stern 1934:25; Suttles 1960:300).
sx̣iyék̓ʷəs,raccoon
sx̣nəxʷ,push (by mistake)
sx̣t̓ək̓ʷ,"carving, a carving, carved figure"
sx̣áp̓šn,fish or seal tail fin
sx̣éʔes,"bad, to be bad; bad manners; cruel, terrifying; bad behaviour; bitter, sour taste"
sx̣éʔes ʔal̓,useless; worthless
sx̣éʔes skʷéčəl,storm; bad day
sx̣élqəm,salmon (steelhead)
sx̣éləx̣,war (noun) a war; a battle
sx̣éɬəɬ,"sickness, disease"
sx̣ələʔénxʷ,frogs
sx̣əɬ,"fever, sickness"
sx̣əɬʔéyəw̓'txʷ,hospital; infirmary
sx̣ət̓k̓ʷíŋəɬ,"carving; carved figure; welcome figure, welcome post"
sx̣ə́ləlaʔ,pencil; pen; tool for writing
sx̣ə́nx̣ínəʔ,feet; legs; wheels
sx̣ə́nx̣ənəʔ,feet; legs; wheels
sx̣ə́nə,"foot, leg, wheel"
sx̣ə́t,push
sx̣ə́təlxʷ,push us
sx̣ə́t̓k̓ʷəlʔ,"carving, a carving"
sx̣ə́x̣ínəʔ,bunch of feet; legs; wheels
"3. the name might be derived from x̣ʷay̓məɫəɫ (hwa’yumulh) ""all lying dead"". There is a story about a famine. Then some whales swam into the harbour and died. The people came down and slaughtered the whales, providing the",4. village with meat. It is not certain whether this story is the reason for the name of the village all lay dying.
sx̣ʷesm̓,soap berry
sx̣ʷáʔlə,reef net
sx̣ʷáyx̣ʷe,masked dance
sx̣ʷésəm,"Indian ice-cream; pudding-like confection made of crushed soapberries, water, and sugar whipped with a bundle of maple-leaves"
sx̣ʷíʔlx̣ʷələm̓,ropes
syəwən,song; spirit dancer's song
syə́wə,spiritual worker
skukʷəlstə́nəq,school teacher
skulʔéw̓txʷ,school (school building)
skúkʷəl,school
skúkʷəlstəŋ,teach; taught; be taught
sxáləməs,grey-haired
sxáyxe,goose with red nose; probably Anser albifrons
sxéls,angel
sáʔyəm,"sour, be sour; bitter"
sáʔəkʷ,Place name: Sooke
sáčəkʷəs,"costume, regalia worn by new spirit dancers."
sákʷələ,gamble; place a bet
sák̓ʷəŋ,bathed; given a bath
sák̓ʷət,bathe; give a bath; cleanse (bathe her)
sálʔləs,drunk; be a little drunk
sántəspliʔ,Holy Spirit (from French)
sáŋən,eyebrow
sáqʷəŋ,"sweet, be sweet"
sásən,mouth
sátəč,north wind; north-east wind
séʔkʷəq,carrot; wild carrot
séʔŋəč,two hundred
séʔsəwʔ,shore
séʔwən,provisions
séʔwənəxʷ,you have provisions
séʔət,lift it
séčəŋ,bleed
sélʔs,"bark, to bark"
séləs,"hand, finger"
séləxʷsəxʷ,lazy people. Considered the worst fault in a person
séqəɬ,outside
sésčən,blood
sétəŋ,forced; be forced to; be told to do something
sétəŋɬtə,forced (we were forced)
séxʷ,lazy person
séxʷsəxʷ,lazy person -very lazy. Considered the worst fault in a person
séyʔsi,fearful; be afraid; startled
séynəč,Placename: Saanich; immediate neighbours to the north of the Songhees
séy̓əq̓,clay
síʔčenəŋ,Placename: area along the northern coast of čeqʷəŋin (Chekonein) territory
síʔeq,under; be underneath
síʔsə,shaman
síʔsəɬ siʔém̓,"God: ""big man up above"""
síʔə,this (female person) here
síkʷt,sea cucumber
síləč,find
síɬəs,hill; high place
sísəɬ,sky
sísəɬ sŋenət,mountain; high mountain; mountain top
sítən,berry basket
sítətəlkʷət,pajamas
sƛíʔ,want; a wish; a need; a desire; liking; loving
sƛ’áƛ’əm’,"something acceptable, correct"
sə,the (female)
səʔ,Future particle; will do something; will happen; etc
səʔéčən,lower class
səʔít,true; real
səlaaɬ,trails; roads; doorways
səliyásəŋ,ape; impersonate
səlqíləŋ,go out of many times
səlsíʔlə,grandparents
səlsəléʔləɬ,parents in-law
səlsə́xʷ,disappear
səléwəʔ,"feel sad, pitiful, poor"
səlíqʷəlʔ,calm; be calm; that which is smooth; soft
sələsíɬəŋ,many people standing
sələ́q̓ʷtəɬ,Placename: At the base of what is now called Goldstream river.
səl̓,"heavy, be heavy"
səl̓səl̓tən̓,spindle whorl
səmán̓ə,halibut hook
səmíʔ,cover with a blanket
səmíʔ,blanket
sənƛ̓əw̓áyʔɬ,"Proper name of Sophie Mishael's grandfather, Jimmy Chickens, who was impressed by the Spaniards and forced to serve on a ship. He escaped after three years and returned to his village."
sənsənkʷtəl,copulate
səntí,week
sənəɬqeʔ,two-headed serpent (sinəɬqiʔ SEN)
sən̓ƛ̓áʔləw̓čəs,thumb
sən̓ƛ̓áʔləw̓š̌ən,big toe
səŋséŋ,twice
səŋéʔtən,tumpline
səŋənétʔs,Tuesday
səŋətís,carry something you ones back
səplíl,bread; bread dough
səqʔíw̓s,pants
səqéʔ,salmon; sockeye or blueback
səstənáʔič,floor line (part of a reefnet)
səséw̓ttəŋs,they're laid down
səsíʔmiʔ,bunch of blankets
səsíɬəŋ,standing; standing for a long time
"1. lower class; low class: ""little younger siblings""; Polite term for lower class people; fictitious kinship extended to lower class Songish by those of upper class when it was advantageous to gain lower class aid or support",2. (Suttles 1966: 174).
səsə́miʔ,blankets
1. Hippoglossus stenolepis.,2. halibut
səwéʔ,go along with
səx̣s,hit; to hit
səyéčn̓,younger adult siblings or cousins
sə́ʔsəwqtʔaʔləw̓šən,little toe; pinky toe
sə́ʔsəwqtʔáləw̓čəs,pinky; little finger
sə́čəŋ,bleed
sə́ləq̓təŋ,dizzy; become overcome with dizzines; being spun
sə́míxʷ,quiet; to be silent
sə́məxʷ,shut up! expression of chastisement
sə́nsən,"kidney, urine"
sə́w̓qəŋ,whisper; be whispered
šapt; šapəs,whistle; to whistle
šc̓əlélə,abdomen
ščníŋəɬ,garden; seed
ščéʔtənəč,bottom
ščəc̓éʔen̓,corner (of a room)
ščəmélə,jam jar
ščəŋelə,stomach
šč̓aaɬ,"Placename: portage connecting to Esquimalt Harbour at Thetis Cove to Gorge waterway. Translated as ""drag over a narrow place""."
šč̓íqʷət,hit on the head (- = head)
šč̓ítəŋ,scratched; be itched
"1. sea lion; (Eumetopias Jubata). Sea lion hunting was not common with Straits Salish peoples (Tsooke, Lekwungen, Saanich, Samish, Semiahmoo) although those Salish in the Gulf Islands (e.g. Discovery, SanJuan) regularly hunted",2. the large animals (Suttles 1952:13).
šešm̓,"low tide, the tide is going out"
šiyéləmčəs,ring
škʷic̓áləs,squinted eyes
škʷíšən,drop of water
škʷíšəŋ,"drip, to drip; free flowing water"
škʷəkáyqalθ,"Placename: small island off the eastern side of sc̓náʔəŋ (Catham) island, north of ƛ̓ápas (Grant Keddie 2003 p.54)"
šk̓ʷəw̓əlíqʷ,baldness
šk̓ʷənásəŋ,mirror; window
šléʔəs,at the place where; distant place
šləmélə,bottle; rum container
šɬíx̣əs,dancer's face paint
šƛ̓číkʷən,underwear
šƛ̓eʔləm̓,Placename: Klallam
šƛ̓píʔwən,shirt
šƛ̓xʷásən,curtain
šƛ̓əšə́nəp,plough; tractor
šmək̓ʷélə,grave; cemetery
šmə́t̓əqsən,"Snot (proper name of ""SnotBoy"" from the old time story."
šnəw̓íkʷən,"egg, edible portion of the egg"
šnáwəs,cloud; cloudy
šnéʔəm,Indian doctor
špiʔšt,"Placename: This Klallam village inside Edze spit, where Port Angeles is today, was probably the home village of chief ƛ̓eyx̣əm (Tl’eixum) and stəteqinəm (Sutuqinum)."
špxʷəŋ,"Placename: Means flying dust, this is the name for Oak Bay, and the southwestern shore near the marina. The word was also pronounced as Shehwung and translated as fog."
špáləs,"peel (apples, potatoes etc.)"
špáləst,peel it
špáƛ̓əmélə,pipe
šqanxʷelə,pharynx; inside of throat
šqáʔəs,tears
šqéʔelʔəč̓,mechanical spinning spool; horizontal spindle with whorl at either end
šqéləč̓,hand operated spindle c.f spindle whorl
šqéləč̓əs,spin wool
šqítəs,headband; a kerchief or strip of cloth worn around the forehead
šqət,"finish, to finish; to complete"
šqə́təŋ,"finished, be finished; be completed"
šqʷn̓ə; šqʷən̓ə,sea; ocean
šqʷéləkʷəns,"her/his/their feelings, emotions, thoughts"
šqʷél̓ŋət,talking about
šqʷíʔqʷelʔ,"speaker; hired speaker (recipient of a gift of food hire a speaker to thank, with wealth, the donor. Recipient and donor are frequently co-parents-in-law)."
šqʷəl̓s,pot; boiling basket; a watertight basket of coiled cedar bark
šqʷə́l̓tən,language
šq̓épəm,rake; a garden rake
šséʔnəc̓,"Placename: Saseenos Island, a small islet near West Saanich"
šsə́qʷəɬ,step-parent
štihélə,kettle; teapot
štíŋəstxʷəs,walk it; he/she/they walk it
štəla̓ləs,eyeglasses (lit: rounded eyes like dollars)
štəlélə,purse
štəmkʷəs,car; automobile
štən̓níʔ,deceased parent
štəŋ,walked; to be walked; step
štəŋ̓íʔstxʷ,walk it; being walked; operate a machine
št̓éʔət,try it
šxʷʔaq̓ʷəʔ,sibling
šxʷʔax̣ʷ,where he/she/it/they go to
šxʷʔiŋəs,grandchild's spouce
šxʷʔiyəmə́w̓stən,mask
šxʷʔálə,place for
šxʷʔáləq̓ʷəʔ,siblings
šxʷʔáqʷəɬ,step-parent
šxʷʔéləɬ,kin of living spouse; sibling in law of same sex (man's brother-in-law or woman's sister-in-law); affinal kin
šxʷʔéləxʷ,ancestors
šxʷəw̓al̓čəs,trick; sleight of hand; trick done with the hands
šxʷléʔə,at a place there
šxʷqéʔəlʔəč̓,spinning spool
šxʷq̓ʷáčət,why kill him/her/them
šxʷsčéʔčeʔ,in-law-relative
šxʷsəléwəʔ,sockeye (the one you're poor with)
šxʷt̓íləm,that's why he sang
šxʷwéli,parents
šxʷx̣čiʔtəs,clever person; smart person; someone who knows
šxʷáʔq̓ʷaʔ,sibling
šxʷámətən,cave (Caves were visited by young men hoping for spiritual connections- (SM)
šxʷénəʔ,speak about; refer to
šxʷəlʔálʔčəs,magic trick; slight of hand
šxʷəláʔq̓ʷaʔ,siblings
šxʷəléʔeʔ,"location, territory, home"
šxʷəmáʔtən,hunting bow
šx̣əl̓ələ́,write; to write
šx̣əɬáləs,sore eyes
šx̣ə́lʔəs ; sxʷx̣ə́lʔəs,photograph
šx̣ə́lʔəs; sxʷx̣ə́lʔəs,photograph; picture
šx̣ʷiméɬəɬ,Placename: Esquimalt people. Village site at south end of Esquimalt Harbour.
šx̣ʷənéŋ,way it is; similar to; be as it is
šx̣ʷəníŋəstxʷ,manage to make it a certain way (?)
šyəŋət,mountain; hill (unconfirmed)
šk̓ə́wʔəwykʷ snə́xʷəɬ,fishing canoe
šápəs,whistles; s/he whistles
šápət,whistle it; to whistle
šéšəm̓,shallow
šéyəɬ,"elder sibling, elder cousin (male or female)"
šíʔšəč̓,forest; bush
šípən,knife
šúkʷə,sugar
šúšukli,Jesus
šəkʷíšəŋ,waterfall; water leaking out
šəlʔák̓ʷ,"round, to be round; circular; spherical, like a ball"
šəl̓šəl̓eŋ,thirsty; be thirsty
šəmén,enemy
šəméntəl,enemies with each other
šəqnás,finish; they managed to finish (unconfirmed)
šəšk̓ʷə́m̓,swim; to swim
šəšéq̓ən,open mouth
šəšíyəɬ,elder siblings; elder cousins
šə́ləŋ,climb; climb uphill
šə́məl kʷətəŋ,clothesline
šə́pəl,shovel
šə́qəs,finished; s/he/it/they finished
taŋɬ; taŋəɬ,let's; let me; let us; when I
1. go up it,2. upstream; upriver
tčistəŋ,bring
tčéla,speared (something)
tčət,spear it; stab it
tčə́təŋ,"pierced; be pierced, be stabbed"
teʔ,Mom (term of address; when speaking to your mother)
tečsŋ̓; əntečsŋ̓,"head (back of head); upper back, neck, and back of head; back of my head"
ten,mother
ten ləʔ,late mother
teŋən ʔíɬn̓,supper; dinner; evening meal
tey,canoe race
təw̓,too (as too much); extent or degree
təw̓ siyélkʷ,humped back
təw̓ or to',then
təw̓lə,"over there; often preceded with leʔ meaning 'to be there'; or it expands the meaning of the verb, referring to it' relative location"
təw̓níɬ,"he/she, him/her, it"
təw̓nəkʷíʔliyeʔ,you folks
tiʔə,this/ these (thing) here ( near and visible)
tiʔə ʔéenəkʷ,today; this day
tiičəmitsə,"Placename: large territory roughly where Metchosin is today, from Esquimalt harbour extending to mountains on Saanich Arm. Also spelled Teechamitsa."
tkʷísəŋ (?),pack one’s baggage
tkʷət,break (it) in two (as to break a stick)
tqast,block it
tqʷeʔt,tie it tightly
tsas,poor
tsət,get close to
tšéqʷtəŋ,combed; have hair combed
tšíʔqʷəŋ,comb hair
tšəmáyisən,"spit, saliva"
tšə́lʔqən,card wool (after washing and teasing the wool it ic carded between two wooden paddles faced with wire teeth. The paddles are drawn against one another with long strokes until the clump of wool is soft and fine (Lane 1951:18).
txʷʔawənə,nothing (become nothing)
txʷʔéx̣əŋ,go toward; go in a particular direction
txʷʔíʔwəl̓,towards; about
txʷʔəslélə,prepare; become ready; fixed;
txʷʔəstésəɬ; txʷstesəɬ,get near
txʷčəlél,almost (become almost)
txʷčəq,"become big, large, swollen"
txʷčəqʷ,burned; become burned; getting burned
txʷhay,become alone; be left alone; only
txʷiʔniɬ,next
txʷkʷɬyeʔ,start to begin to go
txʷkʷíl̓,start to show up; start to appear
txʷɬew̓,get away (lit: come to escape)
txʷsen,whose
txʷsƛ̓am̓ (?),get kelp (?)
txʷsyeʔ,get away; get gone
txʷtál̓əy̓,going over deep water
txʷtéŋən,evening; become evening
txʷx̣ʷáʔlə,becoming a reef net
txʷx̣ʷənʔéŋ',become that way; become like; toward
txʷx̣ʷənáʔəsəŋ,become turned to face in direction
txʷx̣ʷə́nsət,which way (unvarified)
txʷéŋsət,going somewhere
txʷəʔay̓,"recover from illness, get well, ""become good"
txʷəʔáy̓ ʔal̓,improve; become alright; get better
txʷəʔəc̓éŋ,change clothes; becoming dressed
txʷəʔəsq̓ʷəléʔen̓,deaf person; one who is deaf
txʷəʔəsáʔəy̓s,prepare; became ready
txʷəčéʔi,work (start to work after not having worked)
txʷəkʷənets,first to be grabbed
txʷənác̓əʔ,first person
txʷəsʔáal̓əɬtxʷ,come to be brought on board
txʷəsʔə́nəxʷ,come to a stop
txʷəsiʔém̓,enrich; become important; become a leader; become rich
txʷəsq̓ʷéq̓ʷəŋ,"getting out of the water, disembarking"
txʷəsx̣éɬəɬ,fall ill; become sick
txʷə-,become; towards; comparison; mutative prefix
tx̣ʷinsət,where?
táal,go over the water (further into the water)
táyət,upstream; go up it
téʔq̓eʔ,birthmark
téʔsəs,eight
téʔsəs néʔč́əʔəw̓ač́,eight hundred
téʔət,that (over there)
téčəl,arrive here
téčət,pierce him/her/it
tékʷəs,buy it
télə,money
téləqən,animal (any animal)
téŋən,evening; night
téŋ̓əɬ,whatever; whatever it is
téŋ̓əs,wish for food; wish for a particular food
tésəɬ,arrived
tétiʔ,race canoes; to race canoes
téw̓qən,"mourner; ""one who cuts his hair""; (hair is cut along with other signs and rituals as part of a traditional four year mourning period)"
téx̣əŋ,rumoured; be told about
téyʔyəl̓,going upstream; upriver; going into a bay
téytiʔ,canoe racer
tíʔ,here
tíʔə,this (person) here
títəm̓,go fast and hard
tíxʷsəɬ,tongue
tə,the
tə lil̓,that; far away
təʔiitš,"narrow, be narrow"
təčnaxʷ,manage to spear it
təčt,pick up with fork or spike
təčəx̣ʷəléen̓,trouble
təkʷelʔs,buy continuously
təkʷéɬ,nine times
təkʷəwxʷ,nine
təkʷəwxʷ neʔč̓ ʔəw̓ əč,nine hundred
təkʷəxʷélətxʷ,nine dollars
təltə́kʷs,break off
təlás,married; be a married couple
təléʔčəl,many arriving
təlíxʷsəɬ,tongues
təməɬíkʷəstəŋ,paint one’s body; have one's body painted
tənčáʔləqk̓ʷ,south-west wind
tənə́qsən,duck (mallard)
təq,fart; to fart
təqʷ,tight
təs,"arrive, get to, reach; land (as birds)"
təše'lqən,carding wool
tətcalŋəxʷ,animal (likely for any small animal) (unverified)
tətél̓šən,hello
tətéŋən̓; yeʔ təteʔŋən,afternoon; start to be evening; evening
təwə,"still, yet"
təxʷ q̓ilət,noontime
təxʷ səʔ ʔal̓,late; will be late
təx̣ʷ,just; just as
təx̣ʷác̓,bow and arrow (?) c.f. tx̣ʷúst (KLM) bow of a canoe
tə́ʔsəɬšeʔ,eighty
tə́məɬ,red ochre (paint) (often used as ceremonial face paint)
tə́m̓əqʷ,gooseberry; Ribes spp. also documented as tə́qʷəm
tə́ŋəxʷ,"earth, ground; fields"
tə́qʷteqʷ,red snapper
tə́qʷtəqʷ,cod (red snapper)
tə́wləʔ,"the, that one far off, remote but visible"
tə́wxʷəɬšeʔ,ninety
tə́yəl,go upstream; go upriver; go into a bay
tə́ktən,doctor
t̓aʔxʷ,fir tree
t̓ak̓ʷs,goes home; she/he/they went home
t̓amík̓ʷ,Proper name of owner of Bighouse near Qallə village
t̓at̓əɬəm,flea
t̓čésəs,sharp; be pointed
t̓ek̓ʷɬnéltəŋ,"strangled, be strangled"
t̓el̓t,spread it out
t̓eŋəs,what is it
t̓iləq̓ʷ,strawberry
t̓kʷínəs,choke
t̓snaxʷ,break in pieces
t̓sə́t,"hit it, club it, beat it; break, throw"
t̓sə́tsən kʷə,break (I broke it)
t̓sə́təŋ,"broken, be beaten, clubbed"
t̓sə́təstxʷ,break it; hit him/her/it (cause them to be hit)
t̓x̣əŋ,six
t̓x̣əŋe̓lətxʷ,six dollars
t̓x̣əŋs neʔč̓ ʔəw̓ əč̓,six hundred
t̓x̣ə́məɬšeʔ,sixty
t̓álʔŋixʷtəŋ,baptized
t̓áyəmtəxʷ,wearing; be made to wear
t̓áyəm̓t,put it on (as clothes)
t̓éʔesət,try it (yourself)
t̓éʔət,try it
t̓éčəq̓,"anger, to be angry"
t̓ékʷəl,cross (go across)
t̓éləw̓,arm; wing
t̓émək̓ʷ,fish eggs
t̓éŋəs,what is it
t̓éqeʔ,salal
t̓éq̓eʔ,"liver, bladder"
t̓ét̓ən,wren
t̓íləm,sing
t̓ít̓ələmstəxʷ,singing about
t̓ít̓ələm̓,singing
t̓ít̓ələm̓əxʷ,you're singing
t̓íw̓iʔəɬ; t̓íʔwy̓əɬ,pray
t̓ək̓ʷem,thimble berry
t̓ək̓ʷéstəs,bring home; they bring home
t̓ək̓ʷístəŋ,brought home; be taken home
t̓əlʔəsín,understand
t̓əlŋíxʷt,bless: receive blessing: medicine for the soul
t̓əlq̓sélʔs,"waving, be waving"
t̓əlt̓éləw̓,arms; wings
t̓əlt̓əstəŋs,destroyed; they've been destroyed (plural)
t̓ənqʷələ,spark; make sparks
t̓əŋʔsə́nət,braid hair
t̓əŋ'səwéʔč,stick shoes
t̓əŋáʔəŋ,"swim, to locomote through the water"
t̓əŋáʔəŋs,swims; she/he/it/they swim
t̓əs,broke; it broke
t̓əsnáxʷ,broke; managed to break it; hit by mistake
t̓əsnəxʷ,break (unintentionally)
t̓ət̓éyəq̓,"angry, be angry or mad"
t̓ət̓íləm,singing (always singing)
t̓əxʷq̓ílətŋən,"lunch (second meal of the day). Traditionally, people only had two meals a day: morning and evening.)"
t̓əyəm̓t,putting it on; puting something on something
t̓əyə́mtəs,wear
t̓ə́ʔməs,sea otter
t̓ə́ləŋ,dying; to die
t̓ə́ləŋ,die
t̓ə́yəm̓it,wearing
waʔáčə,guess; suppose
wik,week
wéʔqəs,yawning (be yawn)
wéqəs,yawn (to yawn)
wéyal,only
wəwəsélʔs,bark (as a dog's bark)
wə́wə,perhaps; maybe
xʷʔéyəqtal,"trading, exchanging"
xʷʔíʔtčəs,"jealous, being jealous; being envious"
xʷʔítčəs,"jealous, be jealous; envious"
xʷaʔxʷəwəxʷaʔ,light (weight)
xʷcéʔə,at that particular place; that there
xʷc̓əw̓éčt,sit down (put your bottom there)
xʷc̓sást,hit (punch) him/it in the face
xʷc̓əʔkʷélətəs,wash dishes
xʷčétəs,attack
xʷčəsət čəɬ,wake me up
xʷčət,waken; arouse
xʷčə́m̓əs,meet
xʷčə́sət,wake up; waken oneself
xʷčə́təŋ,"awakened, be awakened"
xʷčə́təs,"waken, to waken"
xʷč̓iyénəxʷ,Placename: Becher Bay
xʷč̓əméynəs; sč̓əmʔínəs,Placename: Chamainus
xʷekʷəče,we are waking up
xʷelŋəxʷ ; xʷilŋəxʷ,Indigenous person; First Nations person
xʷiʔl-,going down (unconfirmed)
xʷiʔst,shaking it (unconfirmed)
xʷil̓təs,distribute gifts at a commemorative potlatch held one year after a person̓s death
xʷists,shakes it
xʷisəlénəxʷ,"Autumn (season when the tree leaves shake). October: ""the leaves are falling"""
xʷkʷáq̓ət,open (open it)
xʷk̓ʷəw̓íʔčən,breastline (ties reefnetting canoes to anchor)
xʷk̓ʷət,"pull it, pull in; drag it; draw; haul something"
xʷk̓ʷə́təs,dragged or pulled it out
xʷləkəlít,lock; to lock
xʷɬx̣ast,paint one’s face
xʷƛ̓iq̓ʷast; xʷəƛ̓iq̓ʷs,wink; blink
xʷƛ̓ə́pneč,Placename: village at Maple Bay; at the bottom
xʷmətásəŋ,"cross oneself, make the sign of the cross"
xʷnə́čəŋ,smile; laugh
xʷqp̓ət,patch up (as clothes)
xʷqə́lwəɬ,stingy
xʷsƛ̓ə́č láʔsən,bowl
xʷsqəléɬ,loud
xʷsáʔcəč,stutter
xʷsáy̓q̓əm,Placename: Tseycum; Saanich village at Patricia Bay;
xʷsépsəm,"Placename: Little Neck, Kosapsum. Village site at Maple Bay where the current Craigflower Manor Schoolhouse is."
4. surrounding this place where your village is. It might be a better idea if you moved your people.’ ... So a few days later Si’sunuq loaded up—took all the boards off [the Bighouses]. They built a raft on the canoes. They,"5. paddled around and they came here (to Qallu)"" (Quoted from interview with late chief Andy Thomas)."
2. marshy area here was drained to build the hotel. It had been an area where people would camp when harvesting camas roots on Beacon Hill. This word is the same name as the Hwsikum (WSIKEM) nation at Patricia Bay (Pat Bay) in,3. Saanich .
xʷsə́lətəŋ,"blister, get blistered"
xʷtqət,close it
xʷtqət,shut; close it
xʷtéwəl,"north, northern, be in a northerly direction"
xʷtəq tə sqʷəqʷə́l̓,sunset
xʷtəsáqan,sore throat
xʷyél̓qən,return; replace; repay; put back
xʷyél̓qənistxʷ,return something borrowed; repay a loan
xʷáyəm,sell
xʷéʔləm,ride
xʷéy sən,I am waking up; I woke up
xʷíʔləm,root (any root)
xʷíʔtəŋ,jumping
xʷílŋəxʷ,"Aboriginal person, people who came before"
xʷíltəs səʔ (?),will distribute or intend to distribute gives at a commemorative potlatch
xʷítəŋ,jumping
